name,surname,id,gender,birthdate,
Demeter,Horváth,1,M,2000-01-15,
Araňa,Čonková,2,F,1999-05-23,
Matilda,Lakatošová,3,F,2001-07-30,
Sandokán,Žiga,4,M,2000-11-12,
Pišta,Šarközi,5,M,1998-03-05,
Esmeralda,Cicková,6,F,2002-09-17,
Šeherezáda,Kokyová,7,F,1999-12-25,
Sindy,Balážová,8,F,2001-04-10,
Dezider,Berky,9,M,2000-06-18,
Herkules,Facuna,10,M,1998-08-22,
Jolana,Horváthová,11,F,2000-02-15,
Rudolf,Gaži,12,M,1999-06-23,
Xena,Orsósová,13,F,2001-08-30,
Mário,Gaži,14,M,2000-12-12,
Klaudia,Halušková,15,F,1998-04-05,
Patrik,Dotko,16,M,2002-10-17,
Nikola,Orsósová,17,F,1999-11-25,
Adrián,Baláž,18,M,2001-05-10,
Skarleta,Heráková,19,F,2000-07-18,
Tomáš,Bikár,20,M,1998-09-22,
